"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2022-12-12,4091.47778320312,6734.4521484375
2022-12-13,4070.91796875,6810.31591796875
2022-12-14,4091.47778320312,6801.7490234375
2022-12-15,4070.91796875,6751.85986328125
2022-12-16,4153.158203125,6812.19287109375
2022-12-19,4112.0380859375,6779.6982421875
2022-12-20,4132.59765625,6768.31591796875
2022-12-21,4112.0380859375,6820.6630859375
2022-12-22,4091.47778320312,6824.43212890625
2022-12-23,4081.19775390625,6800.6728515625
2022-12-26,4132.59765625,6835.80810546875
2022-12-27,4091.47778320312,6923.02685546875
2022-12-28,4101.7578125,6850.52001953125
2022-12-29,4101.7578125,6860.0771484375
2022-12-30,4081.19775390625,6850.619140625
2023-01-02,4060.63720703125,6850.98388671875
2023-01-03,4091.47778320312,6888.7578125
2023-01-04,4122.31787109375,6813.23876953125
2023-01-05,4040.0771484375,6653.8408203125
2023-01-06,4029.79760742188,6684.55810546875
2023-01-09,3998.95678710938,6688.26513671875
2023-01-10,3813.91528320312,6622.4990234375
2023-01-11,3680.27368164062,6584.453125
2023-01-12,3783.07495117188,6629.93408203125
2023-01-13,3772.794921875,6641.830078125
2023-01-16,3824.19555664062,6688.05712890625
2023-01-17,4009.23706054688,6767.33984375
2023-01-18,3926.99633789062,6765.7861328125
2023-01-19,4009.23706054688,6819.9072265625
2023-01-20,4101.7578125,6874.93115234375
2023-01-24,4070.91796875,6860.85400390625
2023-01-25,3988.6767578125,6829.93017578125
2023-01-26,4040.0771484375,6864.81787109375
2023-01-27,4122.31787109375,6898.98095703125
2023-01-30,4091.47778320312,6872.48095703125
2023-01-31,4091.47778320312,6839.341796875
2023-02-01,3988.6767578125,6862.2578125
2023-02-02,3998.95678710938,6890.57177734375
2023-02-03,4081.19775390625,6911.73193359375
2023-02-06,4060.63720703125,6873.791015625
2023-02-07,4183.9990234375,6935.30078125
2023-02-08,4194.27880859375,6940.1240234375
2023-02-09,4214.8388671875,6897.365234375
2023-02-10,4235.39892578125,6880.3291015625
2023-02-13,4255.95947265625,6900.14013671875
2023-02-14,4266.2392578125,6941.85498046875
2023-02-15,4204.55908203125,6914.5380859375
2023-02-16,4183.9990234375,6895.6640625
2023-02-17,4235.39892578125,6895.7138671875
2023-02-20,4225.11865234375,6894.716796875
2023-02-21,4194.27880859375,6873.40478515625
2023-02-22,4112.0380859375,6809.9677734375
2023-02-23,4142.87841796875,6839.4541015625
2023-02-24,4163.4384765625,6856.576171875
2023-02-27,4173.71826171875,6854.77685546875
